Customer ID,Gender,Senior Citizen,tenure,Contract,Internet Service,Online Security,Premium Tech Support,MonthlyCharges,TotalCharges,Churn
8779-QRDMV,Male,Yes,1,Month-to-Month,Yes,No,No,39.65,39.65,Yes
7495-OOKFY,Female,Yes,8,Month-to-Month,Yes,No,No,80.65,633.3,Yes
1658-BYGOY,Male,Yes,18,Month-to-Month,Yes,No,No,95.45,1752.55,Yes
4598-XLKNJ,Female,Yes,25,Month-to-Month,Yes,No,No,98.5,2514.5,Yes
4846-WHAFZ,Female,Yes,37,Month-to-Month,Yes,No,No,76.5,2868.15,Yes
4412-YLTKF,Female,Yes,27,Month-to-Month,Yes,No,No,78.05,2135.5,Yes
0390-DCFDQ,Female,Yes,1,Month-to-Month,Yes,No,No,70.45,70.45,Yes
3445-HXXGF,Male,Yes,58,Month-to-Month,Yes,No,No,45.3,2651.2,Yes
2656-FMOKZ,Female,Yes,15,Month-to-Month,Yes,No,No,74.45,1145.7,Yes
2070-FNEXE,Female,Yes,7,Month-to-Month,Yes,Yes,No,76.45,503.6,Yes
0094-OIFMO,Female,Yes,11,Month-to-Month,Yes,No,No,95,1120.3,Yes
9947-OTFQU,Male,Yes,15,Month-to-Month,Yes,No,No,74.4,1074.3,Yes
9514-JDSKI,Male,Yes,1,Month-to-Month,Yes,No,No,40.2,40.2,Yes
7273-TEFQD,Male,Yes,3,Month-to-Month,Yes,No,No,41.15,132.2,Yes
3606-TWKGI,Male,Yes,13,Month-to-Month,Yes,No,No,106.9,1364.3,Yes
4385-GZQXV,Female,Yes,16,Month-to-Month,Yes,No,Yes,94.45,1511.2,Yes
3488-PGMQJ,Male,Yes,8,Month-to-Month,Yes,No,No,74.5,606.55,Yes
7534-BFESC,Male,Yes,24,Month-to-Month,Yes,No,No,76.1,1712.7,Yes
8098-LLAZX,Female,Yes,4,Month-to-Month,Yes,No,No,95.45,396.1,Yes
0265-EDXBD,Male,Yes,32,Month-to-Month,Yes,No,No,74.9,2303.35,Yes
2840-XANRC,Male,Yes,24,Month-to-Month,Yes,No,No,93.15,2231.05,Yes
5020-ZSTTY,Female,Yes,54,One Year,Yes,Yes,Yes,82.45,4350.1,Yes
5804-LEPIM,Female,Yes,2,Month-to-Month,Yes,No,No,70.35,139.05,Yes
0623-IIHUG,Female,Yes,21,Month-to-Month,Yes,Yes,No,41.9,840.1,Yes
9057-MSWCO,Male,Yes,27,Month-to-Month,Yes,Yes,No,30.75,805.1,Yes
4895-TMWIR,Male,Yes,11,Month-to-Month,No,No,No,19.95,214.75,Yes
0533-BNWKF,Female,Yes,55,Month-to-Month,Yes,No,No,85.45,4874.7,Yes
0334-GDDSO,Male,Yes,3,Month-to-Month,Yes,No,No,81.35,233.7,Yes
5564-NEMQO,Female,Yes,1,Month-to-Month,Yes,No,No,75.3,75.3,Yes
6235-VDHOM,Female,Yes,5,Month-to-Month,Yes,No,No,28.45,131.05,Yes
